,item
10498,soda
10499,chicken
10500,UHT-milk
10501,rolls/buns
10502,citrus fruit
10503,whole milk
10504,rolls/buns
10505,ham
10506,root vegetables
10507,hygiene articles
10508,whipped/sour cream
10509,beverages
10510,beef
10511,shopping bags
10512,butter milk
10513,Instant food products
10514,berries
10515,whole milk
10516,flower (seeds)
10517,onions
10518,hamburger meat
10519,other vegetables
10520,cream cheese 
10521,whole milk
10522,pork
10523,misc. beverages
10524,whole milk
10525,cake bar
10526,hamburger meat
10527,grapes
10528,rolls/buns
10529,soda
10530,tropical fruit
10531,sliced cheese
10532,soda
10533,other vegetables
10534,pastry
10535,citrus fruit
10536,curd
10537,whipped/sour cream
10538,canned beer
10539,roll products 
10540,soda
10541,pot plants
10542,root vegetables
10543,beef
10544,citrus fruit
10545,rolls/buns
10546,rolls/buns
10547,citrus fruit
10548,whole milk
10549,cream cheese 
10550,turkey
10551,shopping bags
10552,bottled beer
10553,popcorn
10554,whole milk
10555,pork
10556,hamburger meat
10557,root vegetables
10558,rolls/buns
10559,newspapers
10560,newspapers
10561,grapes
10562,coffee
10563,pot plants
10564,dish cleaner
10565,napkins
10566,herbs
10567,pastry
10568,whole milk
10569,rolls/buns
10570,tropical fruit
10571,grapes
10572,pork
10573,chewing gum
10574,bottled water
10575,whipped/sour cream
10576,coffee
10577,newspapers
10578,whipped/sour cream
10579,frozen meals
10580,whole milk
10581,organic sausage
10582,dog food
10583,root vegetables
10584,whole milk
10585,oil
10586,citrus fruit
10587,pasta
10588,butter milk
10589,pastry
10590,root vegetables
10591,salt
10592,yogurt
10593,other vegetables
10594,brown bread
10595,liquor
10596,other vegetables
10597,citrus fruit
10598,chicken
10599,soda
10600,onions
10601,root vegetables
10602,whole milk
10603,newspapers
10604,hygiene articles
10605,dessert
10606,other vegetables
10607,whole milk
10608,other vegetables
10609,margarine
10610,curd
10611,onions
10612,whipped/sour cream
10613,tropical fruit
10614,beef
10615,tropical fruit
10616,domestic eggs
10617,pip fruit
10618,cream cheese 
10619,root vegetables
10620,dessert
10621,long life bakery product
10622,long life bakery product
10623,fruit/vegetable juice
10624,butter
10625,berries
10626,grapes
10627,citrus fruit
10628,tropical fruit
10629,newspapers
10630,yogurt
10631,tropical fruit
10632,whole milk
10633,rice
10634,chicken
10635,white bread
10636,root vegetables
10637,zwieback
10638,other vegetables
10639,bottled water
10640,bottled water
10641,whole milk
10642,specialty chocolate
10643,margarine
10644,whipped/sour cream
10645,curd
10646,chicken
10647,misc. beverages
10648,liquor
10649,whole milk
10650,herbs
10651,other vegetables
10652,other vegetables
10653,tropical fruit
10654,citrus fruit
10655,whole milk
10656,yogurt
10657,pastry
10658,whole milk
10659,bottled water
10660,rolls/buns
10661,ham
10662,ice cream
10663,rolls/buns
10664,canned beer
10665,misc. beverages
10666,frozen vegetables
10667,hamburger meat
10668,pip fruit
10669,other vegetables
10670,grapes
10671,white bread
10672,butter
10673,tropical fruit
10674,whole milk
10675,sausage
10676,other vegetables
10677,soda
10678,soda
10679,soda
10680,beef
10681,tropical fruit
10682,citrus fruit
10683,tropical fruit
10684,rolls/buns
10685,root vegetables
10686,beverages
10687,turkey
10688,citrus fruit
10689,other vegetables
10690,finished products
10691,whole milk
10692,coffee
10693,herbs
10694,vinegar
10695,domestic eggs
10696,butter
10697,hamburger meat
10698,root vegetables
10699,yogurt
10700,whole milk
10701,chicken
10702,canned beer
10703,candy
10704,pip fruit
10705,sausage
10706,citrus fruit
10707,candy
10708,root vegetables
10709,sliced cheese
10710,other vegetables
10711,instant coffee
10712,soda
10713,dish cleaner
10714,tropical fruit
10715,other vegetables
10716,other vegetables
10717,whipped/sour cream
10718,other vegetables
10719,oil
10720,brown bread
10721,tropical fruit
10722,skin care
10723,misc. beverages
10724,other vegetables
10725,other vegetables
10726,yogurt
10727,nut snack
10728,yogurt
10729,tropical fruit
10730,citrus fruit
10731,citrus fruit
10732,yogurt
10733,citrus fruit
10734,other vegetables
10735,hamburger meat
10736,newspapers
10737,grapes
10738,sugar
10739,frozen meals
10740,grapes
10741,specialty cheese
10742,bottled water
10743,white bread
10744,tropical fruit
10745,sliced cheese
10746,other vegetables
10747,whole milk
10748,other vegetables
10749,other vegetables
10750,meat
10751,tropical fruit
10752,citrus fruit
10753,chocolate
10754,pastry
10755,yogurt
10756,pot plants
10757,hygiene articles
10758,soda
10759,soda
10760,canned fish
10761,other vegetables
10762,pasta
10763,root vegetables
10764,white wine
10765,root vegetables
10766,hamburger meat
10767,pork
10768,citrus fruit
10769,canned beer
10770,UHT-milk
10771,red/blush wine
10772,coffee
10773,brown bread
10774,root vegetables
10775,tropical fruit
10776,chocolate
10777,other vegetables
10778,tropical fruit
10779,rolls/buns
10780,curd
10781,whole milk
10782,whole milk
10783,yogurt
10784,whole milk
10785,yogurt
10786,whole milk
10787,pork
10788,whole milk
10789,cake bar
10790,tropical fruit
10791,sausage
10792,pip fruit
10793,hamburger meat
10794,pork
10795,root vegetables
10796,bottled water
10797,bottled beer
10798,meat
10799,pot plants
10800,pork
10801,other vegetables
10802,beef
10803,whole milk
10804,seasonal products
10805,specialty bar
10806,soda
10807,rolls/buns
10808,meat
10809,mayonnaise
10810,sliced cheese
10811,beef
10812,pot plants
10813,sausage
10814,other vegetables
10815,tropical fruit
10816,pip fruit
10817,grapes
10818,pip fruit
10819,berries
10820,tropical fruit
10821,bottled water
10822,whole milk
10823,root vegetables
10824,dessert
10825,brown bread
10826,tropical fruit
10827,softener
10828,pork
10829,softener
10830,other vegetables
10831,root vegetables
10832,sausage
10833,dental care
10834,hamburger meat
10835,domestic eggs
10836,UHT-milk
10837,citrus fruit
10838,whipped/sour cream
10839,red/blush wine
10840,ham
10841,root vegetables
10842,root vegetables
10843,root vegetables
10844,liver loaf
10845,citrus fruit
10846,tropical fruit
10847,rolls/buns
10848,beverages
10849,frozen vegetables
10850,beef
10851,shopping bags
10852,waffles
10853,other vegetables
10854,yogurt
10855,chocolate
10856,rolls/buns
10857,whipped/sour cream
10858,meat
10859,berries
10860,whole milk
10861,pork
10862,other vegetables
10863,root vegetables
10864,pip fruit
10865,meat
10866,other vegetables
10867,organic sausage
10868,other vegetables
10869,pastry
10870,root vegetables
10871,pork
10872,other vegetables
10873,dish cleaner
10874,root vegetables
10875,specialty chocolate
10876,vinegar
10877,berries
10878,beef
10879,canned fish
10880,dishes
10881,baking powder
10882,napkins
10883,fruit/vegetable juice
10884,pastry
10885,yogurt
10886,pip fruit
10887,whole milk
10888,soda
10889,beverages
10890,fruit/vegetable juice
10891,yogurt
10892,whole milk
10893,other vegetables
10894,pip fruit
10895,bottled water
10896,root vegetables
10897,yogurt
10898,hard cheese
10899,hamburger meat
10900,brown bread
10901,onions
10902,frozen potato products
10903,chicken
10904,salty snack
10905,ham
10906,fruit/vegetable juice
10907,tropical fruit
10908,frozen meals
10909,chocolate
10910,white bread
10911,oil
10912,other vegetables
10913,yogurt
10914,dessert
10915,butter milk
10916,misc. beverages
10917,herbs
10918,packaged fruit/vegetables
10919,tropical fruit
10920,bottled beer
10921,cream cheese 
10922,whole milk
10923,meat
10924,chocolate
10925,pet care
10926,meat spreads
10927,waffles
10928,pastry
10929,whole milk
10930,yogurt
10931,butter
10932,sausage
10933,other vegetables
10934,sugar
10935,other vegetables
10936,rolls/buns
10937,pip fruit
10938,root vegetables
10939,onions
10940,misc. beverages
10941,jam
10942,domestic eggs
10943,soda
10944,whole milk
10945,pork
10946,beef
10947,pot plants
10948,other vegetables
10949,sugar
10950,waffles
10951,bottled water
10952,whole milk
10953,dishes
10954,misc. beverages
10955,detergent
10956,beef
10957,butter
10958,soda
10959,ham
10960,hamburger meat
10961,yogurt
10962,whole milk
10963,UHT-milk
10964,shopping bags
10965,root vegetables
10966,coffee
10967,whole milk
10968,soda
10969,whole milk
10970,female sanitary products
10971,pip fruit
10972,coffee
10973,bottled beer
10974,root vegetables
10975,tropical fruit
10976,root vegetables
10977,whole milk
10978,brown bread
10979,shopping bags
10980,specialty chocolate
10981,curd
10982,sugar
10983,soda
10984,pasta
10985,liquor
10986,bottled water
10987,whole milk
10988,rolls/buns
10989,tropical fruit
10990,beverages
10991,frozen vegetables
10992,other vegetables
10993,salty snack
10994,whole milk
10995,whole milk
10996,fruit/vegetable juice
10997,whole milk
10998,soda
10999,other vegetables
11000,tropical fruit
11001,fruit/vegetable juice
11002,rolls/buns
11003,soda
11004,dessert
11005,other vegetables
11006,rolls/buns
11007,oil
11008,other vegetables
11009,coffee
11010,root vegetables
11011,hamburger meat
11012,condensed milk
11013,other vegetables
11014,salty snack
11015,soda
11016,beverages
11017,brown bread
11018,shopping bags
11019,citrus fruit
11020,dishes
11021,butter milk
11022,other vegetables
11023,whole milk
11024,yogurt
11025,fish
11026,rolls/buns
11027,whole milk
11028,citrus fruit
11029,butter
11030,curd
11031,frozen vegetables
11032,flower (seeds)
11033,brown bread
11034,whole milk
11035,yogurt
11036,butter milk
11037,butter
11038,brown bread
11039,rolls/buns
11040,canned fish
11041,coffee
11042,onions
11043,frozen vegetables
11044,beef
11045,root vegetables
11046,whole milk
11047,ham
11048,yogurt
11049,other vegetables
11050,other vegetables
11051,hamburger meat
11052,whipped/sour cream
11053,long life bakery product
11054,pip fruit
11055,red/blush wine
11056,whole milk
11057,root vegetables
11058,root vegetables
11059,tropical fruit
11060,yogurt
11061,frozen dessert
11062,other vegetables
11063,other vegetables
11064,margarine
11065,bottled water
11066,herbs
11067,yogurt
11068,tropical fruit
11069,yogurt
11070,cream
11071,oil
11072,fish
11073,chocolate
11074,other vegetables
11075,mustard
11076,sausage
11077,frozen meals
11078,processed cheese
11079,organic sausage
11080,canned fish
11081,shopping bags
11082,coffee
11083,canned beer
11084,soda
11085,beef
11086,bottled water
11087,citrus fruit
11088,bottled water
11089,other vegetables
11090,sweet spreads
11091,chocolate
11092,berries
11093,softener
11094,onions
11095,condensed milk
11096,dishes
11097,rolls/buns
11098,citrus fruit
11099,onions
11100,tropical fruit
11101,rolls/buns
11102,bottled beer
11103,margarine
11104,soft cheese
11105,pip fruit
11106,hamburger meat
11107,tropical fruit
11108,rolls/buns
11109,coffee
11110,canned beer
11111,canned beer
11112,UHT-milk
11113,other vegetables
11114,onions
11115,other vegetables
11116,beverages
11117,soda
11118,chocolate
11119,long life bakery product
11120,fruit/vegetable juice
11121,long life bakery product
11122,UHT-milk
11123,pork
11124,white bread
11125,pip fruit
11126,other vegetables
11127,rolls/buns
11128,newspapers
11129,margarine
11130,dessert
11131,root vegetables
11132,rolls/buns
11133,other vegetables
11134,other vegetables
11135,citrus fruit
11136,pip fruit
11137,other vegetables
11138,rolls/buns
11139,canned beer
11140,frozen vegetables
11141,pip fruit
11142,yogurt
11143,citrus fruit
11144,rolls/buns
11145,waffles
11146,yogurt
11147,pip fruit
11148,yogurt
11149,coffee
11150,other vegetables
11151,onions
11152,other vegetables
11153,soda
11154,berries
11155,other vegetables
11156,sausage
11157,butter
11158,pip fruit
11159,tropical fruit
11160,citrus fruit
11161,rolls/buns
11162,rolls/buns
11163,berries
11164,whole milk
11165,tropical fruit
11166,pip fruit
11167,whole milk
11168,rolls/buns
11169,beef
11170,rolls/buns
11171,bottled beer
11172,root vegetables
11173,hamburger meat
11174,citrus fruit
11175,curd
11176,other vegetables
11177,other vegetables
11178,soda
11179,white bread
11180,root vegetables
11181,root vegetables
11182,pork
11183,whole milk
11184,candy
11185,tropical fruit
11186,citrus fruit
11187,other vegetables
11188,oil
11189,herbs
11190,meat
11191,rolls/buns
11192,pork
11193,whole milk
11194,whole milk
11195,white wine
11196,liquor
11197,cleaner
11198,nut snack
11199,specialty bar
11200,butter
11201,domestic eggs
11202,white bread
11203,whole milk
11204,white bread
11205,whipped/sour cream
11206,soda
11207,frozen dessert
11208,domestic eggs
11209,butter
11210,hamburger meat
11211,long life bakery product
11212,other vegetables
11213,pastry
11214,tropical fruit
11215,soda
11216,roll products 
11217,baking powder
11218,whole milk
11219,whole milk
11220,rolls/buns
11221,sliced cheese
11222,other vegetables
11223,UHT-milk
11224,curd
11225,root vegetables
11226,other vegetables
11227,other vegetables
11228,citrus fruit
11229,newspapers
11230,tropical fruit
11231,whole milk
11232,hygiene articles
11233,pastry
11234,pastry
11235,pip fruit
11236,specialty cheese
11237,white bread
11238,rolls/buns
11239,whole milk
11240,soda
11241,grapes
11242,bottled water
11243,whole milk
11244,citrus fruit
11245,specialty chocolate
11246,baking powder
11247,tropical fruit
11248,mayonnaise
11249,cream cheese 
11250,meat
11251,UHT-milk
11252,frozen fish
11253,meat
11254,citrus fruit
11255,pip fruit
11256,UHT-milk
11257,bottled water
11258,house keeping products
11259,rolls/buns
11260,sugar
11261,dessert
11262,root vegetables
11263,yogurt
11264,whole milk
11265,citrus fruit
11266,napkins
11267,dessert
11268,citrus fruit
11269,sausage
11270,canned beer
11271,rice
11272,butter
11273,root vegetables
11274,coffee
11275,butter milk
11276,root vegetables
11277,other vegetables
11278,grapes
11279,brown bread
11280,rolls/buns
11281,shopping bags
11282,other vegetables
11283,pip fruit
11284,whole milk
11285,yogurt
11286,newspapers
11287,whole milk
11288,pip fruit
11289,napkins
11290,organic sausage
11291,red/blush wine
11292,butter
11293,white wine
11294,red/blush wine
11295,citrus fruit
11296,pork
11297,fruit/vegetable juice
11298,rolls/buns
11299,tropical fruit
11300,whole milk
11301,pastry
11302,beef
11303,other vegetables
11304,meat spreads
11305,whipped/sour cream
11306,sliced cheese
11307,chicken
11308,bottled water
11309,pip fruit
11310,root vegetables
11311,pastry
11312,other vegetables
11313,dessert
11314,brown bread
11315,zwieback
11316,frozen meals
11317,hamburger meat
11318,domestic eggs
11319,yogurt
11320,pork
11321,soda
11322,whole milk
11323,bottled water
11324,curd
11325,butter
11326,packaged fruit/vegetables
11327,margarine
11328,tropical fruit
11329,meat
11330,yogurt
11331,pork
11332,tropical fruit
11333,citrus fruit
11334,whole milk
11335,liquor (appetizer)
11336,berries
11337,curd
11338,whole milk
11339,hamburger meat
11340,beef
11341,pip fruit
11342,other vegetables
11343,hamburger meat
11344,rolls/buns
11345,bottled water
11346,pastry
11347,butter
11348,ham
11349,whole milk
11350,canned beer
11351,tropical fruit
11352,pip fruit
11353,soda
11354,bottled beer
11355,other vegetables
11356,pip fruit
11357,root vegetables
11358,pip fruit
11359,napkins
11360,curd
11361,female sanitary products
11362,whipped/sour cream
11363,other vegetables
11364,berries
11365,whole milk
11366,whole milk
11367,brown bread
11368,specialty chocolate
11369,coffee
11370,pot plants
11371,frozen meals
11372,specialty chocolate
11373,sugar
11374,roll products 
11375,whipped/sour cream
11376,tropical fruit
11377,pip fruit
11378,margarine
11379,bottled water
11380,newspapers
11381,soda
11382,soda
11383,rolls/buns
11384,soda
11385,pip fruit
11386,soda
11387,root vegetables
11388,cake bar
11389,soda
11390,tropical fruit
11391,chocolate
11392,other vegetables
11393,pot plants
11394,domestic eggs
11395,pip fruit
11396,pork
11397,bottled water
11398,root vegetables
11399,shopping bags
11400,berries
11401,soda
11402,yogurt
11403,dessert
11404,vinegar
11405,domestic eggs
11406,pastry
11407,canned vegetables
11408,whole milk
11409,salty snack
11410,brown bread
11411,frozen vegetables
11412,tropical fruit
11413,berries
11414,pot plants
11415,other vegetables
11416,yogurt
11417,chicken
11418,frozen meals
11419,chicken
11420,vinegar
11421,berries
11422,other vegetables
11423,yogurt
11424,soda
11425,white bread
11426,margarine
11427,curd
11428,tropical fruit
11429,bottled beer
11430,grapes
11431,sugar
11432,onions
11433,beef
11434,domestic eggs
11435,pastry
11436,whole milk
11437,cream cheese 
11438,specialty chocolate
11439,ice cream
11440,liquor
11441,onions
11442,citrus fruit
11443,dessert
11444,ham
11445,other vegetables
11446,cat food
11447,pip fruit
11448,yogurt
11449,yogurt
11450,whole milk
11451,frozen potato products
11452,dessert
11453,whole milk
11454,pork
11455,margarine
11456,chewing gum
11457,specialty bar
11458,canned beer
11459,onions
11460,specialty fat
11461,tropical fruit
11462,chocolate
11463,citrus fruit
11464,margarine
11465,dessert
11466,whole milk
11467,brown bread
11468,canned beer
11469,pastry
11470,yogurt
11471,brown bread
11472,root vegetables
11473,chocolate
11474,whole milk
11475,canned beer
11476,ham
11477,chicken
11478,root vegetables
11479,rolls/buns
11480,yogurt
11481,whole milk
11482,soda
11483,ice cream
11484,mayonnaise
11485,tropical fruit
11486,pip fruit
11487,butter milk
11488,sugar
11489,rolls/buns
11490,bottled beer
11491,whole milk
11492,soda
11493,other vegetables
11494,hard cheese
11495,butter milk
11496,soda
11497,fruit/vegetable juice
11498,sweet spreads
11499,onions
11500,pip fruit
11501,pastry
11502,canned beer
11503,whole milk
11504,bottled beer
11505,white bread
11506,whole milk
11507,tropical fruit
11508,other vegetables
11509,pip fruit
11510,bottled water
11511,rolls/buns
11512,whole milk
11513,rolls/buns
11514,other vegetables
11515,whole milk
11516,beef
11517,whole milk
11518,cat food
11519,sausage
11520,beef
11521,ham
11522,soda
11523,canned beer
11524,whole milk
11525,onions
11526,onions
11527,tidbits
11528,whole milk
11529,whole milk
11530,bottled beer
11531,citrus fruit
11532,fruit/vegetable juice
11533,white bread
11534,soda
11535,domestic eggs
11536,spread cheese
11537,other vegetables
11538,grapes
11539,semi-finished bread
11540,other vegetables
11541,misc. beverages
11542,beef
11543,tropical fruit
11544,other vegetables
11545,beef
11546,rolls/buns
11547,frozen potato products
11548,beef
11549,bottled beer
11550,onions
11551,soda
11552,vinegar
11553,nuts/prunes
11554,dessert
11555,sausage
11556,rum
11557,meat
11558,cream cheese 
11559,hamburger meat
11560,yogurt
11561,hamburger meat
11562,pastry
11563,pip fruit
11564,rolls/buns
11565,pork
11566,male cosmetics
11567,citrus fruit
11568,tea
11569,newspapers
11570,tropical fruit
11571,herbs
11572,zwieback
11573,tropical fruit
11574,beverages
11575,napkins
11576,whole milk
11577,rolls/buns
11578,whipped/sour cream
11579,beverages
11580,other vegetables
11581,beef
11582,fruit/vegetable juice
11583,hamburger meat
11584,whole milk
11585,root vegetables
11586,citrus fruit
11587,soda
11588,instant coffee
11589,whole milk
11590,whole milk
11591,pastry
11592,hard cheese
11593,whipped/sour cream
11594,whole milk
11595,whipped/sour cream
11596,root vegetables
11597,onions
11598,curd
11599,soda
11600,brown bread
11601,liver loaf
11602,hamburger meat
11603,sausage
11604,white bread
11605,rolls/buns
11606,sausage
11607,curd
11608,chicken
11609,bottled water
11610,yogurt
11611,bottled water
11612,root vegetables
11613,rolls/buns
11614,other vegetables
11615,canned beer
11616,butter
11617,chocolate
11618,ham
11619,fruit/vegetable juice
11620,whole milk
11621,yogurt
11622,cat food
11623,yogurt
11624,beef
11625,pip fruit
11626,pastry
11627,other vegetables
11628,ham
11629,herbs
11630,napkins
11631,organic products
11632,pip fruit
11633,specialty chocolate
11634,pastry
11635,tropical fruit
11636,ice cream
11637,soft cheese
11638,whipped/sour cream
11639,chocolate marshmallow
11640,soda
11641,decalcifier
11642,soda
11643,specialty bar
11644,other vegetables
11645,butter milk
11646,other vegetables
11647,pip fruit
11648,rolls/buns
11649,frozen dessert
11650,sliced cheese
11651,waffles
11652,tropical fruit
11653,citrus fruit
11654,other vegetables
11655,bottled beer
11656,yogurt
11657,bottled water
11658,yogurt
11659,whole milk
11660,flour
11661,other vegetables
11662,hygiene articles
11663,whole milk
11664,yogurt
11665,citrus fruit
11666,rolls/buns
11667,yogurt
11668,sausage
11669,herbs
11670,whole milk
11671,specialty bar
11672,tropical fruit
11673,sugar
11674,rolls/buns
11675,beverages
11676,pastry
11677,pastry
11678,citrus fruit
11679,beef
11680,other vegetables
11681,whole milk
11682,rolls/buns
11683,yogurt
11684,specialty chocolate
11685,rolls/buns
11686,beverages
11687,berries
11688,cat food
11689,meat
11690,processed cheese
11691,rolls/buns
11692,root vegetables
11693,sausage
11694,pip fruit
11695,root vegetables
11696,dish cleaner
11697,margarine
11698,tropical fruit
11699,rolls/buns
11700,pork
11701,curd
11702,rolls/buns
11703,candles
11704,hamburger meat
11705,other vegetables
11706,yogurt
11707,rolls/buns
11708,processed cheese
11709,canned beer
11710,butter milk
11711,pork
11712,flour
11713,bottled water
11714,soda
11715,rolls/buns
11716,rolls/buns
11717,butter
11718,pastry
11719,coffee
11720,bottled water
11721,margarine
11722,yogurt
11723,coffee
11724,root vegetables
11725,root vegetables
11726,brown bread
11727,citrus fruit
11728,fruit/vegetable juice
11729,butter
11730,bottled water
11731,soda
11732,rolls/buns
11733,fruit/vegetable juice
11734,fruit/vegetable juice
11735,soda
11736,beef
11737,UHT-milk
11738,soda
11739,beef
11740,canned beer
11741,whole milk
11742,rolls/buns
11743,whole milk
11744,hamburger meat
11745,root vegetables
11746,tropical fruit
11747,yogurt
11748,other vegetables
11749,root vegetables
11750,shopping bags
11751,chocolate
11752,ham
11753,pork
11754,frozen fish
11755,citrus fruit
11756,rolls/buns
11757,rolls/buns
11758,whole milk
11759,other vegetables
11760,meat
11761,margarine
11762,other vegetables
11763,tropical fruit
11764,root vegetables
11765,yogurt
11766,domestic eggs
11767,root vegetables
11768,spread cheese
11769,hygiene articles
11770,herbs
11771,chocolate
11772,cat food
11773,frozen vegetables
11774,pastry
11775,misc. beverages
11776,tea
11777,curd
11778,pip fruit
11779,whole milk
11780,candy
11781,soda
11782,waffles
11783,yogurt
11784,candy
11785,root vegetables
11786,whole milk
11787,yogurt
11788,tropical fruit
11789,onions
11790,whipped/sour cream
11791,ham
11792,liquor
11793,cream cheese 
11794,whole milk
11795,oil
11796,pip fruit
11797,brown bread
11798,whole milk
11799,yogurt
11800,sliced cheese
11801,frozen fish
11802,tea
11803,whipped/sour cream
11804,whole milk
11805,rolls/buns
11806,whole milk
11807,coffee
11808,pastry
11809,oil
11810,rolls/buns
11811,photo/film
11812,pip fruit
11813,yogurt
11814,beef
11815,pip fruit
11816,citrus fruit
11817,root vegetables
11818,canned beer
11819,citrus fruit
11820,domestic eggs
11821,yogurt
11822,domestic eggs
11823,zwieback
11824,yogurt
11825,tropical fruit
11826,coffee
11827,honey
11828,other vegetables
11829,spread cheese
11830,sausage
11831,soda
11832,beverages
11833,beef
11834,napkins
11835,white bread
11836,whole milk
11837,pork
11838,pip fruit
11839,other vegetables
11840,tropical fruit
11841,rolls/buns
11842,citrus fruit
11843,butter
11844,other vegetables
11845,tropical fruit
11846,white wine
11847,domestic eggs
11848,dessert
11849,pip fruit
11850,other vegetables
11851,beef
11852,newspapers
11853,other vegetables
11854,nuts/prunes
11855,other vegetables
11856,tropical fruit
11857,white wine
11858,ice cream
11859,chicken
11860,whipped/sour cream
11861,root vegetables
11862,hard cheese
11863,other vegetables
11864,citrus fruit
11865,misc. beverages
11866,frozen meals
11867,yogurt
11868,fruit/vegetable juice
11869,herbs
11870,curd
11871,tropical fruit
11872,rolls/buns
11873,citrus fruit
11874,pip fruit
11875,soda
11876,root vegetables
11877,citrus fruit
11878,UHT-milk
11879,butter
11880,citrus fruit
11881,citrus fruit
11882,soda
11883,whole milk
11884,other vegetables
11885,root vegetables
11886,citrus fruit
11887,whole milk
11888,sugar
11889,hamburger meat
11890,other vegetables
11891,ham
11892,white bread
11893,beef
11894,mustard
11895,rolls/buns
11896,rolls/buns
11897,sugar
11898,pip fruit
11899,pastry
11900,rolls/buns
11901,hard cheese
11902,root vegetables
11903,soda
11904,yogurt
11905,rolls/buns
11906,whole milk
11907,beef
11908,whole milk
11909,yogurt
11910,rolls/buns
11911,pip fruit
11912,canned fish
11913,soft cheese
11914,other vegetables
11915,hamburger meat
11916,other vegetables
11917,curd
11918,hamburger meat
11919,pip fruit
11920,whole milk
11921,other vegetables
11922,rolls/buns
11923,onions
11924,bottled water
11925,tropical fruit
11926,soda
11927,frozen vegetables
11928,brown bread
11929,rolls/buns
11930,frozen vegetables
11931,other vegetables
11932,chewing gum
11933,liquor (appetizer)
11934,pork
11935,bottled beer
11936,canned beer
11937,grapes
11938,pork
11939,citrus fruit
11940,butter milk
11941,rolls/buns
11942,herbs
11943,rolls/buns
11944,other vegetables
11945,candy
11946,fruit/vegetable juice
11947,whole milk
11948,white bread
11949,fruit/vegetable juice
11950,newspapers
11951,salty snack
11952,coffee
11953,citrus fruit
11954,root vegetables
11955,soda
11956,pip fruit
11957,finished products
11958,fruit/vegetable juice
11959,cream cheese 
11960,domestic eggs
11961,other vegetables
11962,other vegetables
11963,soda
11964,coffee
11965,sausage
11966,yogurt
11967,rolls/buns
11968,rolls/buns
11969,pork
11970,newspapers
11971,citrus fruit
11972,hygiene articles
11973,sausage
11974,bottled beer
11975,other vegetables
11976,root vegetables
11977,pastry
11978,male cosmetics
11979,turkey
11980,soda
11981,pastry
11982,tropical fruit
11983,whole milk
11984,chicken
11985,beverages
11986,bottled water
11987,liver loaf
11988,soda
11989,frozen vegetables
11990,curd
11991,yogurt
11992,whole milk
11993,rolls/buns
11994,tropical fruit
11995,yogurt
11996,root vegetables
11997,root vegetables
11998,tropical fruit
11999,canned fruit
12000,other vegetables
12001,waffles
12002,brown bread
12003,sausage
12004,frozen dessert
12005,pork
12006,sausage
12007,beverages
12008,condensed milk
12009,rolls/buns
12010,beef
12011,rolls/buns
12012,other vegetables
12013,long life bakery product
12014,UHT-milk
12015,tropical fruit
12016,pork
12017,yogurt
12018,rolls/buns
12019,root vegetables
12020,pastry
12021,nuts/prunes
12022,whole milk
12023,white bread
12024,tropical fruit
12025,sugar
12026,soda
12027,cookware
12028,shopping bags
12029,butter
12030,sliced cheese
12031,other vegetables
12032,specialty cheese
12033,whole milk
12034,chewing gum
12035,tropical fruit
12036,pip fruit
12037,pastry
12038,meat
12039,hard cheese
12040,misc. beverages
12041,root vegetables
12042,soda
12043,onions
12044,male cosmetics
12045,onions
12046,soda
12047,ham
12048,newspapers
12049,waffles
12050,meat
12051,soda
12052,chocolate
12053,soda
12054,bottled water
12055,whole milk
12056,other vegetables
12057,pot plants
12058,whipped/sour cream
12059,napkins
12060,seasonal products
12061,brown bread
12062,bottled water
12063,root vegetables
12064,soft cheese
12065,rolls/buns
12066,canned fish
12067,finished products
12068,tropical fruit
12069,bottled beer
12070,newspapers
12071,whole milk
12072,bottled beer
12073,whole milk
12074,beef
12075,napkins
12076,tropical fruit
12077,brown bread
12078,white bread
12079,zwieback
12080,root vegetables
12081,whole milk
12082,brown bread
12083,yogurt
12084,domestic eggs
12085,citrus fruit
12086,liquor
12087,candy
12088,root vegetables
12089,soda
12090,citrus fruit
12091,rolls/buns
12092,sliced cheese
12093,photo/film
12094,dessert
12095,bottled beer
12096,yogurt
12097,frozen vegetables
12098,frozen meals
12099,frozen meals
12100,canned fruit
12101,frozen potato products
12102,root vegetables
12103,pastry
12104,cereals
12105,soda
12106,whole milk
12107,napkins
12108,specialty bar
12109,tropical fruit
12110,frozen potato products
12111,other vegetables
12112,canned beer
12113,curd
12114,canned beer
12115,beef
12116,whole milk
12117,salt
12118,root vegetables
12119,whole milk
12120,pip fruit
12121,misc. beverages
12122,coffee
12123,shopping bags
12124,whole milk
12125,onions
12126,onions
12127,whole milk
12128,salty snack
12129,misc. beverages
12130,rolls/buns
12131,hamburger meat
12132,bottled beer
12133,beverages
12134,hard cheese
12135,misc. beverages
12136,pork
12137,turkey
12138,pastry
12139,rolls/buns
12140,margarine
12141,pork
12142,salty snack
12143,UHT-milk
12144,yogurt
12145,pork
12146,whole milk
12147,ice cream
12148,whole milk
12149,pork
12150,root vegetables
12151,tropical fruit
12152,soda
12153,hard cheese
12154,whole milk
12155,whole milk
12156,frozen vegetables
12157,whole milk
12158,bottled water
12159,dessert
12160,pip fruit
12161,bottled beer
12162,other vegetables
12163,other vegetables
12164,rolls/buns
12165,hamburger meat
12166,meat
12167,beef
12168,female sanitary products
12169,skin care
12170,other vegetables
12171,other vegetables
12172,citrus fruit
12173,tropical fruit
12174,tropical fruit
